14,ΑΙΘΟΥΣΑ,ΑΙΘΟΥΣΑ 1
15,ΜΑΘΗΜΑ,ΟΜΙΛΙΑ ΗΧΟΣ
15,ΕΝΑΡΞΗ/ΛΗΞΗ,15
15,ΛΗΞΗ,17
15,ΗΜΕΡΑ,ΠΕΜΠΤΗ
15,ΔΙΔΑΣΚΩΝ,ΚΑΡΥΔΗΣ
15,ΑΙΘΟΥΣΑ,ΑΙΘΟΥΣΑ 1
16,ΜΑΘΗΜΑ,ΣΗΜΑΣΙΟΛΟΓΙΚΟΣ
16,ΕΝΑΡΞΗ,19
16,ΛΗΞΗ,21
16,ΗΜΕΡΑ,ΠΕΜΠΤΗ
16,ΔΙΔΑΣΚΩΝ,ΣΤΕΦΑΝΙΔΑΚΗΣ
16,ΑΙΘΟΥΣΑ,ΑΡΕΤΑΙΟΣ
17,ΜΑΘΗΜΑ,ΕΞΥΠΝΕΣ ΤΕΧΝΟΛΟΓΙΕΣ
17,ΕΝΑΡΞΗ,9
17,ΛΗΞΗ,11
17,ΗΜΕΡΑ,ΠΑΡΑΣΚΕΥΗ
17,ΔΙΔΑΣΚΩΝ,ΚΑΤΩΜΕΡΗΣ
17,ΑΙΘΟΥΣΑ,ΑΙΘΟΥΣΑ 1
18,ΜΑΘΗΜΑ,ΠΑΡΑΛΛΗΛΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
18,ΕΝΑΡΞΗ,11
18,ΛΗΞΗ,13
18,ΗΜΕΡΑ,ΠΑΡΑΣΚΕΥΗ
18,ΔΙΔΑΣΚΩΝ,ΣΤΕΦΑΝΙΔΑΚΗΣ
18,ΑΙΘΟΥΣΑ,ΑΡΕΤΑΙΟΣ
19,ΜΑΘΗΜΑ,ΟΜΙΛΙΑ ΗΧΟΣ
19,ΕΝΑΡΞΗ,15
19,/ΛΗΞΗ,17
19,ΗΜΕΡΑ,ΠΑΡΑΣΚΕΥΗ
19,ΔΙΔΑΣΚΩΝ,ΚΑΡΥΔΗΣ
19,ΑΙΘΟΥΣΑ,ΓΑΛΗΝΟΣ
